使用计算设备 (Using Device): mps
初始化模型参数总数 (Model Parameters): 69,004
开始时空自动化研究实验流水线 (Commencing Spatio-Temporal Experiment Pipeline)...
Epoch 1 | Step 50 | Loss: 0.1822 | Time Used: 4.4s / 900s
Epoch 1 | Step 100 | Loss: 0.1706 | Time Used: 8.5s / 900s
Epoch 1 | Step 150 | Loss: 0.1680 | Time Used: 12.6s / 900s
Epoch 2 | Step 200 | Loss: 0.1689 | Time Used: 16.6s / 900s
Epoch 2 | Step 250 | Loss: 0.1659 | Time Used: 20.7s / 900s
Epoch 2 | Step 300 | Loss: 0.1565 | Time Used: 24.8s / 900s
Epoch 3 | Step 350 | Loss: 0.1753 | Time Used: 28.9s / 900s
Epoch 3 | Step 400 | Loss: 0.1683 | Time Used: 33.0s / 900s
Epoch 3 | Step 450 | Loss: 0.1530 | Time Used: 37.1s / 900s
Epoch 4 | Step 500 | Loss: 0.1597 | Time Used: 41.2s / 900s
Epoch 4 | Step 550 | Loss: 0.1750 | Time Used: 45.3s / 900s
Epoch 4 | Step 600 | Loss: 0.1637 | Time Used: 49.4s / 900s
Epoch 5 | Step 650 | Loss: 0.1543 | Time Used: 53.4s / 900s
Epoch 5 | Step 700 | Loss: 0.1520 | Time Used: 57.5s / 900s
Epoch 5 | Step 750 | Loss: 0.1630 | Time Used: 61.6s / 900s
Epoch 6 | Step 800 | Loss: 0.1493 | Time Used: 65.7s / 900s
Epoch 6 | Step 850 | Loss: 0.1541 | Time Used: 69.9s / 900s
Epoch 6 | Step 900 | Loss: 0.1600 | Time Used: 74.0s / 900s
Epoch 6 | Step 950 | Loss: 0.1547 | Time Used: 78.1s / 900s
Epoch 7 | Step 1000 | Loss: 0.1452 | Time Used: 82.3s / 900s
Epoch 7 | Step 1050 | Loss: 0.1498 | Time Used: 86.5s / 900s
Epoch 7 | Step 1100 | Loss: 0.1473 | Time Used: 90.6s / 900s
Epoch 8 | Step 1150 | Loss: 0.1568 | Time Used: 94.8s / 900s
Epoch 8 | Step 1200 | Loss: 0.1487 | Time Used: 99.0s / 900s
Epoch 8 | Step 1250 | Loss: 0.1445 | Time Used: 103.1s / 900s
Epoch 9 | Step 1300 | Loss: 0.1629 | Time Used: 107.3s / 900s
Epoch 9 | Step 1350 | Loss: 0.1692 | Time Used: 111.5s / 900s
Epoch 9 | Step 1400 | Loss: 0.1518 | Time Used: 115.7s / 900s
Epoch 10 | Step 1450 | Loss: 0.1578 | Time Used: 119.8s / 900s
Epoch 10 | Step 1500 | Loss: 0.1706 | Time Used: 124.0s / 900s
Epoch 10 | Step 1550 | Loss: 0.1535 | Time Used: 128.2s / 900s
Epoch 11 | Step 1600 | Loss: 0.1547 | Time Used: 132.4s / 900s
Epoch 11 | Step 1650 | Loss: 0.1427 | Time Used: 136.6s / 900s
Epoch 11 | Step 1700 | Loss: 0.1505 | Time Used: 140.8s / 900s
Epoch 12 | Step 1750 | Loss: 0.1693 | Time Used: 145.0s / 900s
Epoch 12 | Step 1800 | Loss: 0.1587 | Time Used: 149.2s / 900s
Epoch 12 | Step 1850 | Loss: 0.1578 | Time Used: 153.4s / 900s
Epoch 12 | Step 1900 | Loss: 0.1541 | Time Used: 157.8s / 900s
